漱石枕流	还有人不知道一直鼓吹不婚不育的上野千鹤子女士已经秘密的结了婚吗
boohoo	到一半想放弃，顶着9.1的高分我想后面还是会看到不一样的东西吧所以坚持到最后，大错特错。
Bobbi	评分虚高的厉害，看这种书营造焦虑，不如静下心来看马恩的著作更能找到出路。
evilelf	"看了一页，别人截图刚好瞧见。我还没有开始关注书中女性对男性的嫌恶，就已经感受到了作者对读者的险恶。

女性确实有弱势的地方，但男性也并全无可取之处，这个简单的道理，打5星的人估计都不懂。

作者非常了解自己的读者，非常懂如何引爆读者情绪，但我只觉得这是一个作者的险恶，对，是险恶。没看到半点真诚，都是按照情绪激化最大化的姿势去写的。当然也有可能是翻译者所为。"
还亮	作者说这本书对于著者而言是不愉快的，同样对于读者，无论男女，也是不愉快的。 确实如此。 或许是为了击醒读者，前半本里面一些论点，十分的激进，对我来说，简直剧毒。后半本，倒是相对平和一些。为后半本的平和，加一星。 人在社会中，不可能不受社会影响，如果太过陷入某一种思维，觉得其他人这也是“厌女”，那也是“歧视”，未免自己和他人都太累。 在古代，改革派中分两种，一种“鹰派”，一种“鸽派”，我想，我属于鸽派。 现在能理解为何同为改革派，还能斗得死去活来了。彼之蜜糖，吾之砒霜啊。
請假	可能是目前中国女拳的圣经吧
虞舜	读的气死我了
Breezy	未免有点太烂了
闪光的舵手	看了一些，实在有些看不下去了，很多观点真心不敢苟同，日本文化和中国文化还是有很大差别的，所以很难理解为什么这么多人会对书中观点产生共情。而且作者总是以极端例子来证明某个观点，99%观点放在我这根本不适用，我身边的男性几乎也都不适用。估计女性领域做研究的人太少了，又赶上红利，才能把这种没逻辑的畅销书捧上神坛，看这种低级书不如多去看几部阿克曼的女性主义电影。作者说男人总是在书中描写他们想象中的女人，这句话调转一下可以原话奉还给她。
uujjj	把女性厌女合理化，导致女性斗争内卷化，拉长女权战线，阻碍女性进步。
tobias	煽动性极强的著作，作者将女性面临的一切困境指向单一因素——男人，女人总是被不公正对待的，是男人造就了一切。如果把上野千鹤子置于女性主义这一端，我觉得这不是一部客观的作品，她只是一味的鼓动女性去仇恨，此时女性主义不过是女权主义的伪装，而权力则意味着革命，每一个人都将在暴力面前失控，走向疯狂。本书让我对男性自身多了些了解，有一定参考意义，但是总体而言，更像篇情绪高度放纵的檄文，上野像是中世纪修道院里老处女嬷嬷，抱着女性主义的圣经高喊：“消灭异教徒！”
棵奥考乐阿拉	读了149页。写太烂了，前后逻辑对不上。
雪糕小牛奶	一开始还以为会惊艳我，越往后面看越觉得无聊，写的面很广，举的例子很多，但是翻来覆去，不过是站在宏观视角的小家子气思想和写法(作者本身的局限性)。厌女两个字的解释在书里面落的太重，很多“方法论”简直就是零和博弈，偏离女性主义本质太多。不得不承认“厌女”这个概念很新颖，对于有部分阐述确实还不错，但是总体来讲没有给它一个合理全方位的剖析。对于一些东西的看法浅薄狭隘且偏激。我真的开始质疑作者的思想，以及“女性主义者”的“身份”因为书中一些地方有拉踩挑对立的嫌疑。二流作家搭着时代快车写出的三流作品，如果这部作品能起到抛砖引玉的效果也算是有它的价值了。
＊＊sunbeam~	博学多才、幽默风趣的上野千鹤子老师吸收了来自美国、欧洲的理论（主要是美国学者），受到了启发，写下了本书，来解释世界各国男性和女性存在的现象（用厌女症），倘若她的理论解释不通，说明那是你脱离厌女症产生的新变化前兆。听她娓娓道来（披着厌女症外衣解释社会现象的人权书籍），她说我们女性没有人权，很是为女性考虑，用心良苦！
23	看完了 没有想象中干货多
书格拉低	"第一章 喜欢女人的男人的厌女症 
第二章 男性同性社会性欲望·同性恋憎恶·厌女症 

我不懂日语，就没去找日文原版，就冲这两章节标题，你认为翻译的好么？下面书评还有人说一气呵成，通俗易懂，我真……"
西米	出现纯作家论和弗式猩理分析后立马降评，打着以小见大和科学的旗帜号召拳法畅销全中日我tm竟然还想把它当做女性主义理论入门，瞎了瞎了
洸	"S.110 “ 可哪儿也看不到鼓励“婚外子”出生的政策 ”, 难道要鼓励婚外情？？？！WTF"
two day off	有点像畅销书，日本腔翻译我真的接受无能，噱头有点夸张。
Macie jay	好难懂 太枯燥 难读下去 卖给多抓鱼了
木木菌~	读得太晚，对我来说已经有些不合时宜；东拼西凑的理论难以使人信服，只能对照着现象检查自身；分析太浅了，没解决任何问题。
Tough	挺失望的，共鸣点很少。这书应该是来自女性视角的厌女，对男性方面有较多的臆测。或者我这样的草食宅男同一般男人不是一个种类，在我的理解里越厌女只能证明此男越不够直。看了全书在胡说八道的我难道是太肤浅了？？
菲小象	翻译太拗口，看着累心。也有一些新的思路吧，不过大多数还是旧话新说，没新意。
冻住小羊	理论水平不高
三月兔亭狲介	算是描述了一点现象吧，但实际等于啥也没说？
momo	太日本了  共性方面感觉比较少
NeLaw	有学术论文的晦涩难懂 却没有论文的层次和严谨。试图用homosocial，恐同，厌女建立一套解读 但是论据和可解释性非常差。有一些论点的片段很有意思也很耐读 但是作为一本社会学论著 实在有点名不副实。可能更适合发发微博 单纯把一些观点拿出来讨论
波西芙	对自己观点也是强证，比如古希腊的同性之爱和女性地位，明明城邦之间有所区别，怎能一概论之
已注销	果然中日两国国情不同还是有1..壁的 / 花了很长时间读这本书 不知道是翻译如此还是原著风格如此 读起来不流畅 本来觉得这本书一直在强调同一句话同一个概念很烦 看了作者后记才知道原来这本书的最初发表是从连载开始 这样也能理解作者一直不厌其烦地重复相同的话语 / 但并不觉得这是一本女性主义理论著作 反而更像是一本教男性如何运用女性在社会学上不受偏爱的理论打击女性一样 通篇都在说“你、你、你全都生活在一个厌女症的社会！厌女症如何破解？有点难在这里我就不告诉你了 你要自己去摸索 不过与厌女症相对于的还有个厌男症 在这里我可以教教男性如何破解你们对自己的男性厌恶哦” / 我给二星的原因很简单 我觉得这本书并没有办法让我产生共鸣也没有办法指引我 我对此书刻意强化女性的自我厌恶表示谴责
难兽	前半部分的确不错，收获了一些有价值的观点，比如“女性的厌女症是自我厌恶”“男性通过共同厌女来获得同为男性的认可”“将女性他者化来控制女性”“起反应的是女性符号”等等，但是后面的部分有些不知所云和大量重复了，感觉整本书是可以写成十几万字的小论文的，但体量不足以撑起二十万字，来回的观点并不多。不如《父权制与资本主义》，不满意用文艺作品论证的部分。
comet	援引萨义德弗氏，得出男色情文学家是在下流话的固定格式谈性的说法这真是教授写的吗。
铭	论证不严密，喜欢使用举单个例子论证，缺乏对最新心理学动向的了解（比如本书对于同性恋和强奸的论述）。 再配合激烈的言辞和明显代入情绪的专断行文，本书像是爽文。 相对值得一看的部分大概就是东电女白领和女校文化部分。
♡ ♡ ♡	把社会问题和人性的复杂单纯归结为性别之间的矛盾，对我来说不是一种正确的思考方式。这和豆瓣女拳有什么两样
英雄的黎明	已读。难以评价，观感复杂。说她说的有理，有些地方读起来自相矛盾，像是义愤之词；说她没理吧，有些地方读起来还有点新意。202203140314。
徐小样	兄弟如手足，女人如衣裳，只破不立的日本文学风物谈……
咕咕咕	无聊。文绉绉且没劲。
我是金子	狭隘了吧
点落秋雨	看了三分之二，看的我很不舒服。现在日本是不是只要和学术沾点儿边，就需要够极端、够偏激、够标新立异才能吸引到读者，才能获得好评？这本书对社会中存在的歧视女性现象的恶的一面大放厥词、夸夸其谈，举的全是最极端的例子，完全不提同时存在的成长和自由。可能年纪大了，我更习惯站在中立的立场上思考问题，一件事，有坏的一面，也会有带有希望的一面（简称好的一面）。看到这种充满戾气的文章，真的让我产生生理性的难受。 豆瓣上19745人评出的9.0的高分，像假的一样。
全脂牛奶	车轱辘话连轴说，不懂为什么分这么高
